title,source,published_at,description,url
"Yeh Rishta Kya Kehlata Hai's Shivangi Joshi breaks down, reveals childhood molestation by her 'Mama ji': says 'Mujhe Pakadne Lage…'",The Times of India,2026-07-29T02:17:41Z,Actress Shivangi Joshi shared a painful childhood secret on Lock Upp season two. She revealed experiencing molestation by a man she called her mama ji. Joshi also discussed her family's significant financial difficulties during her youth. She bravely recounte…,https://timesofindia.indiatimes.com/tv/news/hindi/yeh-rishta-kya-kehlata-hais-shivangi-joshi-breaks-down-reveals-childhood-molestation-by-her-mama-ji-says-mujhe-pakadne-lage/articleshow/132697692.cms
How to download Minecraft Bedrock 26.50.22 beta and preview,The Times of India,2026-07-29T02:10:26Z,"Minecraft Bedrock 26.50.22 beta and preview arrived on July 28, 2026. This update brings Drop 3 features and gameplay fixes to players. Abandoned Camps and projectile logic received significant polishing and fine-tuning. Players can download the latest previe…",https://timesofindia.indiatimes.com/sports/esports/minecraft/how-to-download-minecraft-bedrock-26-50-22-beta-and-preview/articleshow/132697682.cms
‘Jumanji: Open World’ Trailer Sees Core Four Group Of Videogame Avatars Unleashed In Real Life,Deadline,2026-07-29T01:30:00Z,"A Jumanji: Open World trailer is now available to the masses. The threequel film will arrive in theaters Dec. 11, 2026. A clip had previously been played in April at CinemaCon in Las Vegas, though this trailer looks a bit different. The clip features Spencer …",http://deadline.com/2026/07/jumanji-3-open-world-trailer-dwayne-johnson-jack-black-1237006351/
liblocator 0.0.1,Pypi.org,2026-07-28T23:10:51Z,Get the locator bar colour of any minecraft player,https://pypi.org/project/liblocator/0.0.1/
liblocator added to PyPI,Pypi.org,2026-07-28T23:10:51Z,Get the locator bar colour of any minecraft player,https://pypi.org/project/liblocator/
stewbeet 3.5.5,Pypi.org,2026-07-28T22:29:12Z,Beet Framework made to help generating advanced Minecraft datapack contents,https://pypi.org/project/stewbeet/3.5.5/
stewbeet 3.5.4,Pypi.org,2026-07-28T22:21:44Z,Beet Framework made to help generating advanced Minecraft datapack contents,https://pypi.org/project/stewbeet/3.5.4/
Minecraft - XBOX Live Key - GLOBAL for $19,Boing Boing,2026-07-28T16:00:00Z,"Expires July 28, 2027 16:00 PST




 Buy now and get 33% off




 
 
 

 
 
 

 

 
 KEY FEATURES
Create, Explore and Survive in a World Built by You

Build whatever you can imagine in Minecraft, the ultimate sandbox game where every procedurally generated…",https://store.boingboing.net/sales/minecraft-xbox-live-key-global?aid=&utm_campaign=feed&utm_medium=RSS&utm_source=boingboing
Minecraft - XBOX Live Key - GLOBAL for $19,Geekdad.com,2026-07-28T16:00:00Z,"Expires July 28, 2027 16:00 PST




 Buy now and get 33% off




 
 
 

 
 
 

 

 
 KEY FEATURES
Create, Explore and Survive in a World Built by You

Build whatever you can imagine in Minecraft, the ultimate sandbox game where every procedurally generated…",https://deals.geekdad.com/sales/minecraft-xbox-live-key-global?aid=&utm_campaign=feed&utm_medium=RSS&utm_source=geekdad
Minecraft - XBOX Live Key - GLOBAL for $19,AndroidGuys,2026-07-28T16:00:00Z,"Expires July 28, 2027 16:00 PST




 Buy now and get 33% off




 
 
 

 
 
 

 

 
 KEY FEATURES
Create, Explore and Survive in a World Built by You

Build whatever you can imagine in Minecraft, the ultimate sandbox game where every procedurally generated…",https://deals.androidguys.com/sales/minecraft-xbox-live-key-global?aid=&utm_campaign=feed&utm_medium=RSS&utm_source=androidguys
Minecraft - XBOX Live Key - GLOBAL for $19,Android Authority,2026-07-28T16:00:00Z,"Expires July 28, 2027 16:00 PST




 Buy now and get 33% off




 
 
 

 
 
 

 

 
 KEY FEATURES
Create, Explore and Survive in a World Built by You

Build whatever you can imagine in Minecraft, the ultimate sandbox game where every procedurally generated…",https://deals.androidauthority.com/sales/minecraft-xbox-live-key-global?aid=&utm_campaign=feed&utm_medium=RSS&utm_source=androidauthroity
